"","gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","KRT4",669.413866287743,-7.31298241173252,0.256888664910186,-28.4675169077207,2.95826189838239e-178,5.1802124102574e-174
"2","GFPT2",759.741444795318,2.94776674805044,0.11675104077285,25.2483123793782,1.18194426842191e-140,1.0348513042168e-136
"3","MXRA5",253.291952088399,-4.97818436657783,0.228637656840401,-21.7732478340295,4.16077923884862e-105,2.42864684171594e-101
"4","IGFBP3",3331.52391919328,-1.84315648826114,0.0856675209765465,-21.5152308278624,1.12119998221954e-102,4.90833322216159e-99
"5","KRT19",5021.54650733898,-1.74945043663996,0.0829440970378917,-21.0919221393266,9.4349190616638e-99,3.30429735377589e-95
"6","SPOCK1",524.423348529462,-2.85077878730559,0.137566889800078,-20.7228555610187,2.15516810456068e-95,6.28985811316033e-92
"7","EFHD2",1990.9074972229,1.19173767658645,0.0628437554050311,18.9635019248236,3.41622313813807e-80,8.54592619599082e-77
"8","PERP",5766.71832370595,-0.937411907888866,0.0515791982101433,-18.1742241139475,8.25884853626404e-74,1.80775870898149e-70
"9","GLUL",3047.33220252531,-1.40304860536717,0.0776192116199812,-18.0760481340162,4.92112506479441e-73,9.57486900106833e-70
"10","MLKL",523.204812943633,-1.73894019279699,0.0967037922747094,-17.9821302959571,2.68957407563984e-72,4.70971316385292e-69
"11","IGFBP6",856.215449284588,-2.2843532337189,0.127184844585427,-17.9608918119529,3.94419577392277e-72,6.27880110883287e-69
"12","TMSB4X",5184.74563262876,-0.953646253467533,0.0536233860429462,-17.7841483695896,9.37774125554654e-71,1.36844689271563e-67
"13","DPYSL3",283.069720996552,-2.04452239798235,0.116890322543267,-17.4909466711889,1.67944172622296e-68,2.26220800522232e-65
"14","PRKAA2",427.930995624365,1.95068885778613,0.114038883813849,17.1054713317812,1.35104400375702e-65,1.68986653927066e-62
"15","LAMA1",89.5898573481925,3.40033712531578,0.200789829624817,16.9348075630595,2.49171907353745e-64,2.90883284644762e-61
"16","AREG",1099.70168972406,1.99655399218356,0.118687928792902,16.8218791286461,1.68721163247777e-63,1.84654768101989e-60
"17","MOK",384.628460606069,1.90569515219392,0.114560335645675,16.6348600626317,3.89665138563476e-62,4.0137801419912e-59
"18","CARD6",313.991141075541,-1.87800741778526,0.114520615192939,-16.3988589706864,1.94863691064389e-60,1.89569894123806e-57
"19","SAMD9",1668.35780017817,-1.92407633071627,0.11754063320855,-16.3694569119975,3.16021320737601e-60,2.91255228812428e-57
"20","ACKR3",392.064671642865,-4.09304803311829,0.257253029710947,-15.9105921423639,5.3505038020767e-57,4.68463360390826e-54
"21","ANO1",402.813368480904,-2.93574698911956,0.185106918378797,-15.8597367123359,1.20397557356175e-56,1.00394363183999e-53
"22","LIF",634.658212836398,2.38683724824295,0.150988505410088,15.8080725533394,2.73713508901303e-56,2.17863511562306e-53
"23","COL5A1",1457.122700295,-2.89657508170948,0.183523220640965,-15.7831530614657,4.06370716503194e-56,3.09389461595105e-53
"24","LARGE2",571.414686726065,2.93999954004077,0.186608008732234,15.754948354116,6.35112282077948e-56,4.63393798811123e-53
"25","KCNC4",609.158735391596,2.05409108049264,0.132304503998287,15.5254811319139,2.33248064624039e-54,1.63376274385262e-51
"26","ENO2",1018.04402939595,2.09051522734925,0.135001976085943,15.4850713149445,4.37577079647814e-54,2.94708163142802e-51
"27","COL12A1",12777.3094511276,-1.68506431767979,0.109654660816156,-15.3670104411242,2.72454061083557e-53,1.76701594949413e-50
"28","SHANK2",804.183500023046,-1.82222556786819,0.118829304891768,-15.3348163529855,4.47536658697011e-53,2.79886229658691e-50
"29","BNC2",78.5827308471077,4.01920971473076,0.262700156295101,15.2996091491314,7.69171556878296e-53,4.64447004568822e-50
"30","CLIC4",2347.6284852035,1.57156758477459,0.102812844767561,15.2857124839566,9.5215908512498e-53,5.55775257987451e-50
"31","CEBPD",730.642652098734,1.95386272837386,0.127944777246489,15.2711409595851,1.19071330762468e-52,6.72599378381152e-50
"32","SEMA6B",345.398463236244,2.10011451254915,0.140078008559438,14.9924640858813,8.22444273664145e-51,4.50056927379151e-48
"33","PYGL",3314.74177697738,0.768708300621321,0.0514593628788832,14.9381620295335,1.86035913201155e-50,9.87174204868308e-48
"34","CCDC88C",667.516829368013,1.43494147860987,0.0970305917979764,14.7885471171556,1.73662039745556e-49,8.94410581760127e-47
"35","AHCYL1",3922.92407821773,0.755318031502865,0.0513940396294991,14.6966075628219,6.77708556901962e-49,3.39067272568864e-46
